"Obs_ID","Study_ID","Authors_and_Year","Year","Taxon","Taxon_Phylo","Class","Class_Order","Speciation_proxy","SexSel_measure","SexSel_proxy","SexSel_proxy_mechanism","SexSel_proxy_stage","SexSel_proxy_sex","PhyloCorrection","N_r","r","r_Var","r_lCI","r_uCI","z","z_Var","z_lCI","z_uCI"
11,4,"Katzourakis et al. 2001",2001,"Syrphidae","Syrphidae","Insecta",2,"Species richness","Testis length","Trait","Competition","Post-mating","Male","Yes",40,0.171,0.0242,-0.133904444047639,0.475904444047639,0.1727,0.027,-0.151060863813038,0.493060863813038
12,5,"Mank et al. 2007",2007,"Actinopterygii","Actinopterygii","Actinopterygii",3,"Species richness","Presence of sexually selected traits","Trait","Choice","Pre-mating","Both","No",18,0.7318,0.0127,0.510919217676141,0.952680782323859,0.9326,0.0667,0.225603674450318,1.23799632554968
13,6,"Nunn et al. 2004",2004,"Primates","Primates","Mammalia",7,"Species richness","Sexual size dimorphism","Sexual size dimorphism","Competition","Pre-mating","Both","Yes",72,-0.1878,0.0131,-0.412132253588288,0.0365322535882881,-0.1901,0.0145,-0.423815253744329,0.048215253744329
14,6,"Nunn et al. 2004",2004,"Primates","Primates","Mammalia",7,"Species richness","Dimorphism of canine","Trait","Competition","Pre-mating","Both","Yes",41,-0.1735,0.0235,-0.473962310448415,0.126962310448415,-0.1753,0.0263,-0.491358584908446,0.144358584908446
15,6,"Nunn et al. 2004",2004,"Primates","Primates","Mammalia",7,"Species richness","Presence of sexual swellings","Trait","Choice","Pre-mating","Both","Yes",5,-0.1817,0.2338,-1.12941624445295,0.766016244452948,-0.1837,0.5,-1.56762929112563,1.20422929112563
16,6,"Nunn et al. 2004",2004,"Primates","Primates","Mammalia",7,"Species richness","Sexual dichromatism","Dichromatism","Choice","Pre-mating","Both","Yes",5,-0.7607,0.0444,-1.17369762711183,-0.347702372888173,-0.9979,0.5,-2.14662929112563,0.625229291125633
17,6,"Nunn et al. 2004",2004,"Primates","Primates","Mammalia",7,"Species richness","Presence of bright genitalia","Trait","Choice","Pre-mating","Both","Yes",7,-0.5914,0.0705,-1.11181598745619,-0.0709840125438113,-0.6798,0.25,-1.5714,0.3886
18,7,"Owens et al. 1999",1999,"Aves","Aves","Aves",6,"Species richness","Mating system","Mating system","Both","Both","Both","No",10,0.01,0.1111,-0.643300665849959,0.663300665849959,0.01,0.1429,-0.730921480320283,0.750921480320283
19,7,"Owens et al. 1999",1999,"Aves","Aves","Aves",6,"Species richness","Sexual size dimorphism","Sexual size dimorphism","Competition","Pre-mating","Both","No",23,0.087,0.0448,-0.327853805574928,0.501853805574928,0.0872,0.05,-0.351269323589959,0.525269323589959
20,7,"Owens et al. 1999",1999,"Aves","Aves","Aves",6,"Species richness","Plumage dichromatism","Dichromatism","Choice","Pre-mating","Both","No",22,0.4091,0.033,0.053048318358135,0.765151681641865,0.4345,0.0526,-0.0404199216942448,0.858619921694245
21,8,"Ritchie et al. 2005",2005,"Goodeidae","Goodeidae","Actinopterygii",3,"Speciation rate","Dimorphism of size and fin","Sexual size dimorphism","Competition","Pre-mating","Both","Yes",16,0.1875,0.0621,-0.300929483139583,0.675929483139583,0.1897,0.0769,-0.356024645255392,0.731024645255392
22,9,"Price-Waldman et al. 2020",2020,"Thraupidae","Thraupidae","Aves",6,"Speciation rate","Plumage colour span","Trait","Choice","Pre-mating","Male","Yes",130,-0.003,0.0078,-0.176102512980026,0.170102512980026,-0.003,0.0079,-0.177208610579386,0.171208610579386
23,9,"Price-Waldman et al. 2020",2020,"Thraupidae","Thraupidae","Aves",6,"Speciation rate","Plumage colour volume","Trait","Choice","Pre-mating","Male","Yes",114,0.01,0.0088,-0.173864297785078,0.193864297785078,0.01,0.009,-0.175941926417901,0.195941926417901
24,9,"Price-Waldman et al. 2020",2020,"Thraupidae","Thraupidae","Aves",6,"Speciation rate","Plumage hue disparity","Trait","Choice","Pre-mating","Male","Yes",110,-0.1,0.009,-0.285941926417901,0.0859419264179007,-0.1003,0.0093,-0.289015554915462,0.0890155549154619
25,9,"Price-Waldman et al. 2020",2020,"Thraupidae","Thraupidae","Aves",6,"Speciation rate","Plumage brilliance","Trait","Choice","Pre-mating","Male","Yes",100,-0.07,0.01,-0.266,0.126,-0.0701,0.0103,-0.268918274675808,0.128918274675807
26,9,"Price-Waldman et al. 2020",2020,"Thraupidae","Thraupidae","Aves",6,"Speciation rate","Plumage chroma","Trait","Choice","Pre-mating","Male","Yes",100,0.05,0.0101,-0.146977562173969,0.246977562173969,0.05,0.0103,-0.148918274675807,0.248918274675808
27,10,"Barraclough et al. 1995",1995,"Passeriformes","Passeriformes","Aves",6,"Species richness","Sexual dichromatism","Dichromatism","Choice","Pre-mating","Both","No",31,0.3708,0.0248,0.062138891338737,0.679461108661263,0.3894,0.0357,0.00046890489725282,0.741131095102747
28,11,"Ingram et al. 2016",2016,"Anolis","Anolis","Squamata",5,"Speciation rate","Dewlap size","Trait","Choice","Pre-mating","Male","Yes",184,0.0509,0.0054,-0.0931299968756509,0.194929996875651,0.0509,0.0055,-0.094457490347075,0.196257490347075
29,12,"Miller et al. 2021",2021,"Anabantiformes","Anabantiformes","Actinopterygii",3,"Speciation rate","Sexual dichromatism","Dichromatism","Choice","Pre-mating","Both","Yes",120,0.1241,0.0081,-0.0523,0.3005,0.1247,0.0085,-0.0566030713629406,0.304803071362941
30,12,"Miller et al. 2021",2021,"Atheriniformes","Atheriniformes","Actinopterygii",3,"Speciation rate","Sexual dichromatism","Dichromatism","Choice","Pre-mating","Both","Yes",186,0.115,0.0053,-0.0276901538298982,0.257690153829898,0.1155,0.0055,-0.030357490347075,0.260357490347075
31,12,"Miller et al. 2021",2021,"Beloniformes","Beloniformes","Actinopterygii",3,"Speciation rate","Sexual dichromatism","Dichromatism","Choice","Pre-mating","Both","Yes",115,-0.0625,0.0087,-0.245316629440541,0.120316629440541,-0.0626,0.0089,-0.247406030188309,0.122406030188309
32,12,"Miller et al. 2021",2021,"Blenniiformes","Blenniiformes","Actinopterygii",3,"Speciation rate","Sexual dichromatism","Dichromatism","Choice","Pre-mating","Both","Yes",253,0.2057,0.0036,0.0881,0.3233,0.2087,0.004,0.0817387157213995,0.3296612842786
